filename,social_signals,,
vid_1,Curling Upper Lip,,
vid_2,Eyebrows Pushed Together,,
vid_3,Smiling,,
vid_4,"Eyebrows Pushed Together,Squinting,Wrinkled nose",,
vid_5,"Curling Upper Lip,Shaking Head",,
vid_6,Shaking Head,,
vid_7,"Eyebrows Pushed Together,Squinting",,
vid_8,Squinting,,
vid_9,"Squinting,Closing Eyes",,
vid_10_1,Shaking Head,,
vid_10_2,"Raised Eyebrows,Eyebrows Pushed Together",,
vid_10_3,"Eyebrows Pushed Together,Shaking Head",,
vid_10,"Shaking Head,Closing Eyes,Eyebrows Pushed Together",,
vid_11,"Raised Eyebrows,Lips Pressed Together",,
vid_12,Raised Eyebrows,,
vid_13,Closing Eyes,,
vid_14,"Shaking Head,Raised Eyebrows",,
vid_15,"Raised Eyebrows,Smiling",,
vid_16,Side Eye,,
vid_17,Shaking Head,,
vid_18,Raised Eyebrows,,
vid_19,"Raised Eyebrows,Smiling",,
vid_20,Eyebrows Pushed Together,,
vid_21,Wide Eyes,,
vid_22,Rolling Eyes,,
vid_23,"Squinting,Smiling",,
vid_24,"Smiling. Raised Eyebrows,Side Eye",,
vid_25,"Calm,",,
vid_26,"Calm,Raised Eyebrows",,
vid_27,"Raised Eyebrows,Smiling",,
vid_29,"Eyebrows Pushed Together,Lips Pressed Together",,
vid_30,Eyebrows Pushed Together,,
vid_31,Smiling,,
vid_32,"Lips Pressed Together,Shaking Head",,
vid_33,"Raised Eyebrows,Squinting",,
vid_34,Calm,,
vid_35,"Raised Eyebrows,Curling Upper Lip",,
vid_36,Calm,,
vid_37,Raised Eyebrows,,
vid_38,"Raised Eyebrows,Lips Pressed Together",,
vid_39,"Side Eye,Eyebrows Pushed Together,Lips Pressed Together",,
vid_42,Wrinkled nose,,
vid_43,"Raised Eyebrows,Smiling",,
vid_44,Raised Eyebrows,,
vid_45,Head Turned Away,,
vid_46,"Curling Upper Lip, Head Turned Away",,
vid_47,"Eyebrows Pushed Together,Curling Upper Lip",,
vid_48,"Closing Eyes,Wrinkled nose",,
vid_49,"Closing Eyes,Curling Upper Lip",,
vid_50,"Lips Pressed Together,Closing Eyes",,
vid_51,"Closing Eyes,Head Turned Away",,
vid_52,Curling Upper Lip,,
vid_53,Curling Upper Lip,,
vid_54,Head Turned Away,,
vid_55,Squinting,,
vid_56,"Wrinkled nose,Raised chin",,
vid_57,Wrinkled nose,,
vid_58,Smiling,,
vid_59,"Curling Upper Lip,Smiling",,
vid_60,"Curling Upper Lip,Wrinkled nose",,
vid_61,Arms Crossed,,
vid_62,Closing Eyes,,
vid_63,"Raised Eyebrows,Shaking Head",,
vid_64,"Raised Eyebrows,Shaking Head",,
vid_65,"Raised Eyebrows,Shaking Head,Curling Upper Lip",,
vid_66,"Eyebrows Pushed Together,Snarl",,
vid_67,Snarl,,
vid_68,Raised Eyebrows,,
vid_69,"Snarl,Wrinkled nose",,
vid_70,"Shaking Head,Raised Eyebrows",,
vid_72,"Raised Eyebrows,Wide Eyes",,
vid_73,"Shaking Head,Eyebrows Pushed Together,Curling Upper Lip",,
vid_74,"Eyebrows Pushed Together,Wrinkled nose",,
vid_75,"Raised Eyebrows,Squinting",,
vid_76,Curling Upper Lip,,
vid_77,Eyebrows Pushed Together,,
vid_78,Raised Eyebrows,,
vid_79,Eyebrows Pushed Together,,
vid_80,Snarl,,
vid_81,"Eyebrows Pushed Together,Wrinkled nose",,
vid_82,"Snarl,Shaking Head",,
vid_83,"Shaking Head,Raised Eyebrows",,
vid_84,"Raised Eyebrows,Arms Crossed,Closing Eyes",,
vid_85,Curling Upper Lip,,
vid_86,Eyebrows Pushed Together,,
vid_87,"Raised chin,Curling Upper Lip",,
vid_88,Eyebrows Pushed Together,,
vid_89,Raised Eyebrows,,
vid_90,"Raised Eyebrows,Shaking Head",,
vid_91,Wrinkled nose,,
vid_92,Raised Eyebrows,,
vid_93,Eyebrows Pushed Together,,
vid_94,"Wrinkled nose,Snarl",,
vid_95,Raised Eyebrows,,
vid_96,"Wrinkled nose,Raised chin",,
vid_97,Eyebrows Pushed Together,,
vid_98,"Wrinkled nose,Raised Eyebrows",,
vid_99,Shaking Head,,
vid_100,Raised Eyebrows,,
vid_101,"Wrinkled nose,Eyebrows Pushed Together",,
vid_102,"Head Turned Away,Eyebrows Pushed Together,Raised Eyebrows",,
vid_103,"Raised Eyebrows,Shaking Head",,
vid_104,Eyebrows Pushed Together,,
vid_105,"Raised Eyebrows,Curling Upper Lip",,
vid_106,"Raised Eyebrows,Head Turned Away",,
